Transaction_ID,Transaction_date,Supplier,Price,Payment_Type,Client ID,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
12367,01-02-09 2:57,25705,1200,Visa,54716,London,England,United Kingdom,01-03-08 7:23,01-07-09 13:14,51.52721,0.14559
12368,01-01-09 20:21,25706,1200,Visa,54717,Morton                      ,IL,United States,10/24/08 6:48,01-07-09 20:49,40.61278,-89.45917
12369,01-08-09 0:42,25707,1200,Visa,54718,Los Gatos                   ,CA,United States,01-08-09 0:28,01-08-09 3:39,37.22667,-121.97361
12370,01-08-09 3:56,25708,1200,Mastercard,54719,New York                    ,NY,United States,01-08-09 3:33,01-08-09 6:19,40.71417,-74.00639
12371,01-08-09 3:16,25709,1200,Mastercard,54720,Miami                       ,FL,United States,01-08-09 3:06,01-08-09 6:34,25.77389,-80.19389
12372,01-08-09 1:59,25710,1200,Mastercard,54721,Vesenaz,Geneve,Switzerland,11/28/07 11:56,01-08-09 7:20,46.2333333,6.2
12373,01-03-09 9:03,25711,1200,Diners,54722,Brooklyn                    ,NY,United States,01-03-09 8:47,01-08-09 10:38,40.65,-73.95
12374,01-05-09 13:17,25712,1200,Mastercard,54723,Badhoevedorp,Noord-Holland,Netherlands,01-05-09 12:45,01-08-09 11:45,52.3333333,4.7833333
12375,01-06-09 7:46,25713,1200,Amex,54724,Reston                      ,VA,United States,01-06-09 7:30,01-08-09 12:40,38.96861,-77.34139
12376,01-05-09 20:00,25714,3600,Visa,54725,Burpengary,Queensland,Australia,12-10-08 19:53,01-08-09 17:58,-27.1666667,152.95
12377,01-08-09 16:24,25715,1200,Visa,54726,Phoenix                     ,AZ,United States,01-08-09 15:57,01-08-09 18:30,33.44833,-112.07333
12378,01-09-09 6:39,25716,1200,Mastercard,54727,Houston                     ,TX,United States,01-09-09 5:09,01-09-09 7:11,29.76306,-95.36306
12379,01-06-09 22:19,25717,3600,Amex,54728,Pittsfield                  ,VT,United States,01-06-09 12:00,01-09-09 10:05,43.77222,-72.81333
12380,01-06-09 23:00,25718,3600,Amex,54729,Pittsfield                  ,VT,United States,01-06-09 12:00,01-09-09 10:05,43.77222,-72.81333
12381,01-07-09 7:44,25719,1200,Mastercard,54730,Ball Ground                 ,GA,United States,01-07-09 5:35,01-09-09 10:52,34.33806,-84.37667
12382,01-03-09 13:24,25720,1200,Visa,54731,Helsingor,Frederiksborg,Denmark,01-03-09 12:47,01-09-09 11:14,56.0333333,12.6166667
12383,01-07-09 15:12,25721,3600,Visa,54732,Flossmoor                   ,IL,United States,01-05-09 19:55,01-09-09 16:03,41.54278,-87.68472
12384,01-07-09 20:15,25722,1200,Amex,54733,Houston                     ,TX,United States,01-07-09 17:17,01-09-09 20:02,29.76306,-95.36306
12385,01-03-09 10:11,25723,3600,Visa,54734,Delray Beach                ,FL,United States,01-03-09 9:27,01-10-09 9:46,26.46111,-80.07306
12386,01-09-09 15:58,25724,1200,Mastercard,54735,Newbury,England,United Kingdom,01-09-09 14:53,01-10-09 13:16,51.4,-1.3166667
12387,01-03-09 13:11,25725,1200,Mastercard,54736,Kobenhavn,Kobenhavn,Denmark,10/31/08 0:31,01-10-09 13:24,55.6666667,12.5833333
12388,01-10-09 12:57,25726,1200,Amex,54737,Sandy Springs               ,GA,United States,02-07-07 20:16,01-10-09 14:09,33.92417,-84.37861
12389,01-10-09 14:43,25727,1200,Diners,54738,Kinsaley,Dublin,Ireland,01-09-09 11:38,01-10-09 14:37,53.4247222,-6.1758333
12390,01-10-09 12:05,25728,1200,Visa,54739,Fort Lauderdale             ,FL,United States,07-01-08 12:53,01-10-09 16:33,26.12194,-80.14361
12391,01-06-09 1:20,25729,1200,Mastercard,54740,Melbourne,Victoria,Australia,01-02-09 17:51,01-10-09 18:27,-37.8166667,144.9666667
12392,01-10-09 14:56,25730,1200,Visa,54741,Ankeny                      ,IA,United States,01-08-09 3:06,01-10-09 19:41,41.72972,-93.60556
12393,01-07-09 10:01,25731,1200,Visa,54742,Pittsboro                   ,NC,United States,01-07-09 9:04,01-10-09 20:02,35.72,-79.1775
12394,01-01-09 1:26,25732,1200,Mastercard,54743,New Rochelle                ,NY,United States,01-01-09 0:58,01-10-09 21:31,40.91139,-73.78278
12395,01-11-09 2:04,25733,1200,Visa,54744,Gold Coast,Queensland,Australia,01-11-09 0:33,01-11-09 2:11,-28,153.4333333
12396,01-11-09 14:17,25734,1200,Visa,54745,Brussels,Brussels (Bruxelles),Belgium,01-11-09 13:39,01-11-09 13:39,50.8333333,4.3333333
12397,01-10-09 21:38,25735,1200,Visa,54746,Maple Ridge District Municipality,British Columbia,Canada,01-10-09 21:17,01-11-09 19:32,49.25,-122.5
12398,01-07-09 6:18,25736,1200,Mastercard,54747,Beachwood                   ,OH,United States,2/23/06 11:56,01-11-09 19:35,41.46444,-81.50889
12399,01-04-09 8:39,25737,3600,Diners,54748,Prince Albert,Saskatchewan,Canada,01-03-09 17:17,01-11-09 21:05,53.2,-105.75
12400,01-05-09 0:31,25738,1200,Mastercard,54749,Saltsjobaden,Stockholm,Sweden,01-04-09 23:45,01-12-09 0:37,59.2833333,18.3
12401,01-02-09 6:07,25739,1200,Visa,54750,Kemble,England,United Kingdom,12/30/08 10:21,01-12-09 2:24,51.6766667,-2.0180556
12402,01-12-09 3:25,25740,1200,Mastercard,54751,W Lebanon                   ,NH,United States,01-12-09 3:12,01-12-09 3:22,43.64917,-72.31083
12403,01-04-09 13:56,25741,1200,Mastercard,54752,Headley,England,United Kingdom,11/29/07 9:23,01-12-09 5:38,51.1166667,-0.8166667
12404,01-07-09 0:12,25742,3600,Mastercard,54753,Lausanne,Vaud,Switzerland,12-01-08 6:25,01-12-09 6:55,46.5333333,6.6666667
12405,01-12-09 5:18,25743,1200,Mastercard,54754,Southampton,England,United Kingdom,01-12-09 4:45,01-12-09 8:08,50.9,-1.4
12406,01-08-09 15:16,25744,1200,Visa,54755,Woodsboro                   ,MD,United States,01-08-09 14:56,01-12-09 9:29,39.53306,-77.315
12407,01-11-09 11:33,25745,1200,Visa,54756,Stavanger,Rogaland,Norway,01-11-09 9:02,01-12-09 10:37,58.9666667,5.75
12408,01-07-09 20:22,25746,1200,Visa,54757,Red Deer,Alberta,Canada,11/23/08 19:30,01-12-09 12:24,52.2666667,-113.8
12409,01-02-09 22:00,25747,1200,Diners,54758,Memphis                     ,TN,United States,01-02-09 21:04,01-12-09 13:18,35.14944,-90.04889
12410,01-05-09 13:52,25748,1200,Mastercard,54759,Morges,Vaud,Switzerland,01-05-09 5:55,01-12-09 14:04,46.5166667,6.5
12411,01-08-09 20:32,25749,1200,Visa,54760,Calgary,Alberta,Canada,01-08-09 20:21,01-12-09 14:07,51.0833333,-114.0833333
12412,01-08-09 13:34,25750,1200,Visa,54761,Belleville,Ontario,Canada,01-06-09 14:38,01-12-09 18:31,44.1666667,-77.3833333
12413,01-11-09 13:08,25751,1200,Visa,54762,Cincinnati                  ,OH,United States,01-11-09 12:38,01-12-09 18:44,39.16194,-84.45694
12414,01-12-09 19:04,25752,1200,Visa,54763,Comox,British Columbia,Canada,9/20/08 20:53,01-12-09 19:01,49.6833333,-124.9333333
12415,01-12-09 13:41,25753,1200,Visa,54764,Gasperich,Luxembourg,Luxembourg,01-12-09 13:16,1/13/09 1:03,49.5855556,6.1230556
12416,01-11-09 10:38,25754,1200,Mastercard,54765,Helens Bay,Northern Ireland,United Kingdom,09-04-08 9:26,1/13/09 2:36,54.65,-5.7333333
12417,1/13/09 5:57,25755,1200,Visa,54766,Milan,Lombardy,Italy,10/15/08 5:31,1/13/09 5:55,45.4666667,9.2
12418,1/13/09 6:13,25678,1200,Visa,54767,Staten Island               ,NY,United States,1/13/09 5:17,1/13/09 7:33,40.63667,-74.15917
12419,01-08-09 13:14,25679,1200,Visa,54768,Oslo,Oslo,Norway,01-08-09 12:47,1/13/09 10:49,59.9166667,10.75
12420,01-02-09 11:41,25680,1200,Visa,54769,Farmington,Michigan,United States,01-01-09 12:00,1/13/09 18:34,42.46444,-83.37639
12421,01-07-09 19:50,25681,1200,Diners,54770,Santa Monica                ,CA,United States,01-03-09 12:04,1/13/09 20:17,34.01944,-118.49028
12422,01-01-09 20:28,25682,1200,Visa,54771,Calgary,Alberta,Canada,01-01-09 20:11,1/13/09 21:11,51.0833333,-114.0833333
12423,01-03-09 15:22,25683,1200,Mastercard,54772,Vancouver,British Columbia,Canada,2/20/08 22:45,1/13/09 23:02,49.25,-123.1333333
12424,01-12-09 3:03,25684,3600,Mastercard,54773,Irvine                      ,CA,United States,01-12-09 2:48,1/14/09 1:07,33.66944,-117.82222
12425,01-05-09 8:58,25685,3600,Mastercard,54774,Telgte,Nordrhein-Westfalen,Germany,09-01-08 3:39,1/14/09 2:07,52.3333333,7.9
12426,01-10-09 14:03,25686,1200,Mastercard,54775,Cheltenham,England,United Kingdom,3/13/06 4:56,1/14/09 2:22,51.9,-2.0833333
12427,1/13/09 11:26,25687,1200,Visa,54776,Keller                      ,VA,United States,1/13/09 11:15,1/14/09 2:39,37.61917,-75.76417
12428,01-02-09 12:18,25688,1200,Visa,54777,Nakskov,Storstrom,Denmark,12-05-07 11:37,1/14/09 4:05,54.8333333,11.15
12429,1/14/09 4:54,25689,1200,Mastercard,54778,Honolulu                    ,HI,United States,1/14/09 4:34,1/14/09 4:43,21.30694,-157.85833
12430,01-06-09 17:15,25690,1200,Visa,54779,Bubuieci,Chisinau,Moldova,12/24/08 17:31,1/14/09 10:27,46.985,28.9425
12431,01-03-09 13:56,25691,1200,Visa,54780,Amelia Island               ,FL,United States,01-03-09 12:30,1/14/09 13:03,30.66944,-81.46278
12432,01-04-09 7:54,25692,1200,Visa,54781,Alliston,Ontario,Canada,10/21/05 21:49,1/14/09 13:06,44.15,-79.8666667
12433,01-12-09 7:28,25693,1200,Amex,54782,La Alberca,Murcia,Spain,12-10-08 16:41,1/14/09 13:44,37.9333333,-1.1333333
12434,01-06-09 15:15,25694,1200,Mastercard,54783,Rathgar,Dublin,Ireland,01-06-09 14:59,1/14/09 14:33,53.3122222,-6.2683333
12435,1/13/09 23:56,25695,1200,Mastercard,54784,Coral Gables                ,FL,United States,1/13/09 23:13,1/14/09 15:17,25.72111,-80.26861
12436,1/14/09 19:32,25696,1200,Visa,54785,Miami                       ,FL,United States,12/16/08 22:19,1/14/09 19:28,25.77389,-80.19389
12437,01-06-09 21:13,25697,1200,Visa,54786,Vancouver,British Columbia,Canada,01-07-08 21:16,1/14/09 20:50,49.25,-123.1333333
12438,1/14/09 11:19,25698,1200,Visa,54787,Jumeira,Dubayy,United Arab Emirates,1/14/09 10:44,1/14/09 21:26,25.2097222,55.2477778
12439,1/13/09 19:39,25699,1200,Visa,54788,Englewood                   ,CO,United States,01-06-09 22:00,1/14/09 22:02,39.64778,-104.98722
12440,01-08-09 7:26,25700,1200,Mastercard,54711,Bournemouth,England,United Kingdom,1/25/08 15:46,1/15/09 1:36,50.7166667,-1.8833333
12441,1/15/09 2:40,25701,1200,Mastercard,54701,Genoa                       ,IL,United States,1/15/09 2:04,1/15/09 2:04,42.09722,-88.69278
12442,01-12-09 6:40,25702,1200,Visa,54702,Al 'Adliyah,Al Manamah,Bahrain,01-10-09 12:50,1/15/09 4:46,26.2172222,50.5405556
12443,1/15/09 3:43,25703,1200,Visa,54703,Rouen,Upper Normandy,France,12/26/08 9:01,1/15/09 5:39,49.4333333,1.0833333
12444,01-05-09 15:39,25704,1200,Visa,54704,Parkland                    ,FL,United States,12-10-08 9:14,1/15/09 6:01,26.30972,-80.2375
12445,01-10-09 5:21,25705,1200,Amex,54705,San Francisco               ,CA,United States,01-10-09 0:07,1/15/09 6:25,37.775,-122.41833
12446,1/15/09 4:12,25706,1200,Mastercard,54706,Keller                      ,VA,United States,1/15/09 4:02,1/15/09 6:59,37.61917,-75.76417
12447,01-12-09 11:48,25707,1200,Visa,54707,Tsawwassen,British Columbia,Canada,7/24/08 15:48,1/15/09 8:56,49.0166667,-123.0833333
12448,01-06-09 10:48,25708,1200,Mastercard,54708,Clinton                     ,NJ,United States,8/21/07 21:19,1/15/09 9:32,40.63667,-74.91028
12449,1/14/09 9:10,25709,1200,Mastercard,54709,Owensboro                   ,KY,United States,1/14/09 8:25,1/15/09 9:40,37.77417,-87.11333
12450,1/14/09 22:44,25710,1200,Visa,54710,Lakewood Village            ,TX,United States,1/14/09 22:21,1/15/09 9:50,33.1425,-96.96917
12451,01-06-09 7:23,25711,1200,Visa,54711,Okotoks,Alberta,Canada,7/21/08 12:03,1/15/09 10:00,50.7166667,-113.9666667
12452,01-01-09 5:04,25712,1200,Mastercard,54711,Glimmen,Groningen,Netherlands,12/16/02 4:09,1/15/09 10:50,53.1333333,6.6333333
12453,1/15/09 11:56,25713,1200,Visa,54701,Calgary,Alberta,Canada,1/14/09 9:16,1/15/09 11:39,51.0833333,-114.0833333
12454,1/15/09 11:58,25714,1200,Visa,54702,Kanata,Ontario,Canada,1/14/09 5:59,1/15/09 11:49,45.3333333,-75.9
12455,01-12-09 9:43,25715,1200,Diners,54703,Bergen,Nordrhein-Westfalen,Germany,01-07-09 8:39,1/15/09 12:14,51.7166667,6.5
12456,1/15/09 12:33,25716,1200,Visa,54704,College Park                ,MD,United States,1/15/09 12:19,1/15/09 13:28,38.98056,-76.93722
12457,1/14/09 11:35,25717,1200,Visa,54705,Kailua Kona                 ,HI,United States,1/13/09 17:42,1/15/09 15:31,19.7349,-155.9003
12458,1/14/09 15:40,25718,1200,Amex,54706,Redondo Beach               ,CA,United States,1/13/09 19:37,1/15/09 15:45,33.84917,-118.3875
12459,01-03-09 11:08,25719,1200,Amex,54707,Fountain Hls                ,AZ,United States,06-05-06 22:42,1/15/09 16:37,33.61167,-111.71667
12460,01-12-09 1:37,25720,1200,Visa,54708,Brisbane,Queensland,Australia,01-12-09 1:26,1/15/09 17:54,-27.5,153.0166667
12461,1/16/09 7:21,25721,2100,Mastercard,54709,Mahopac                     ,NY,United States,11-03-08 14:28,1/16/09 6:08,41.37222,-73.73389
12462,1/15/09 12:54,25722,1200,Mastercard,54710,Ile-Perrot,Quebec,Canada,1/15/09 12:22,1/16/09 7:53,45.4,-73.9333333
12463,01-07-09 7:19,25723,1200,Amex,54711,Bruxelles,Brussels (Bruxelles),Belgium,6/30/08 9:33,1/16/09 8:54,50.8333333,4.3333333
12464,01-03-09 9:56,25724,1200,Visa,54711,Chicago                     ,IL,United States,12/31/08 16:26,1/16/09 13:43,41.85,-87.65
12465,1/16/09 17:41,25725,1200,Visa,54701,Rayford                     ,TX,United States,1/16/09 17:01,1/16/09 17:56,30.07972,-95.41694
12466,01-05-09 5:33,25726,1200,Visa,54702,Escondido                   ,CA,United States,01-05-09 3:19,1/17/09 0:35,33.11917,-117.08556
12467,01-02-09 0:50,25727,1200,Visa,54703,Tesvikiye,Istanbul,Turkey,01-02-09 0:10,1/17/09 1:57,40.6166667,29.0666667
12468,1/13/09 1:51,25728,1200,Visa,54704,Centurion,Gauteng,South Africa,01-12-09 1:40,1/17/09 2:23,-25.8744444,28.1705556
12469,1/15/09 10:24,25729,1200,Visa,54705,York,England,United Kingdom,1/13/09 12:30,1/17/09 4:42,53.9666667,-1.0833333
12470,01-11-09 8:59,25730,1200,Visa,54706,Ashburn                     ,VA,United States,11-09-08 5:53,1/17/09 8:54,39.04361,-77.48778
12471,1/15/09 15:56,25731,1200,Amex,54707,Los Angeles                 ,CA,United States,11-11-05 11:49,1/17/09 10:54,34.05222,-118.24278
12472,01-01-09 12:19,25732,1200,Visa,54708,Edgewood                    ,WA,United States,1/16/06 14:45,1/17/09 11:38,47.25028,-122.2925
12473,01-06-09 14:03,25733,1200,Visa,54709,New York                    ,NY,United States,05-01-08 8:26,1/17/09 11:44,40.71417,-74.00639
12474,01-09-09 15:32,25734,1200,Diners,54710,Basingstoke,England,United Kingdom,01-07-09 12:31,1/17/09 12:03,51.2666667,-1.0833333
12475,1/17/09 12:59,25735,1200,Diners,54711,Den Haag,Zuid-Holland,Netherlands,10/29/08 13:09,1/17/09 13:07,52.0833333,4.3
12476,01-12-09 12:37,25736,1200,Visa,54711,Marietta                    ,GA,United States,9/13/07 14:20,1/17/09 16:17,33.9525,-84.55
12477,01-04-09 7:43,25737,1200,Mastercard,54701,Houston                     ,TX,United States,01-04-09 6:51,1/17/09 17:31,29.76306,-95.36306
12478,1/17/09 16:22,25738,1200,Visa,54702,West Orange                 ,NJ,United States,1/17/09 15:22,1/17/09 18:42,40.79861,-74.23944
12479,01-01-09 3:51,25739,1200,Mastercard,54703,Amsterdam,Noord-Holland,Netherlands,9/14/05 22:53,1/17/09 22:34,52.35,4.9166667
12480,1/18/09 5:27,25740,1200,Visa,54704,Downey                      ,CA,United States,1/18/09 4:28,1/18/09 4:42,33.94,-118.13167
12481,1/18/09 5:15,25741,1200,Diners,54705,Urlingford,Kilkenny,Ireland,1/18/09 4:44,1/18/09 4:44,52.7205556,-7.5825
12482,01-01-09 1:51,25742,1200,Mastercard,54706,Holte,Kobenhavn,Denmark,12/14/05 15:46,1/18/09 4:44,55.8166667,12.4666667
12483,1/18/09 6:30,25743,1200,Visa,54707,Freienbach,Schwyz,Switzerland,6/22/08 14:10,1/18/09 6:21,47.2,8.75
12484,01-11-09 10:51,25744,1200,Mastercard,54708,Hofheim am Taunus,Hessen,Germany,12-06-08 1:34,1/18/09 7:17,50.0833333,8.45
12485,01-04-09 17:02,25745,1200,Mastercard,54709,Lafayette                   ,CA,United States,12/31/05 0:55,1/18/09 8:43,37.88583,-122.11694
12486,1/17/09 1:23,25746,1200,Amex,54710,Mushrif,,Kuwait,1/16/09 14:26,1/18/09 9:08,29.2891667,48.05
12487,1/18/09 2:16,25747,1200,Visa,54711,Nashville                   ,AR,United States,1/16/09 19:32,1/18/09 9:13,33.94556,-93.84694
12488,1/18/09 11:34,25748,3600,Visa,54711,New Malden,England,United Kingdom,10/28/05 14:57,1/18/09 10:27,51.4166667,-0.25
12489,1/18/09 4:38,25749,1200,Visa,54701,Bishop Auckland,England,United Kingdom,12/28/07 13:39,1/18/09 11:58,54.65,-1.6666667
12490,1/18/09 13:26,25750,7500,Mastercard,54702,Navan,Meath,Ireland,1/18/09 12:20,1/18/09 12:20,53.6527778,-6.6813889
12491,1/18/09 11:53,25751,1200,Visa,54703,Joppa,MD,United States,1/18/09 0:00,1/18/09 12:23,39.43361,-76.35806
12492,1/18/09 12:04,25752,1200,Visa,54704,Joppa,MD,United States,1/18/09 0:00,1/18/09 12:23,39.43361,-76.35806
12493,1/13/09 19:54,25753,1200,Diners,54705,Hampton                     ,NJ,United States,01-03-06 6:09,1/18/09 12:51,40.70694,-74.95639
12494,01-05-09 21:06,25754,1200,Mastercard,54706,Louisville                  ,KY,United States,01-05-09 16:27,1/18/09 13:58,38.25417,-85.75944
12495,1/14/09 6:32,25755,1200,Visa,54707,Broadlands                  ,VA,United States,04-12-06 6:14,1/18/09 14:04,39.04361,-77.48778
12496,01-04-09 23:48,25678,1200,Diners,54708,Yellowknife,Northwest Territories,Canada,01-04-09 22:41,1/18/09 16:17,62.45,-114.35
12497,1/18/09 16:32,25679,3600,Visa,54709,Los Angeles                 ,CA,United States,1/18/09 16:23,1/18/09 16:54,34.05222,-118.24278
12498,1/18/09 17:04,25680,3600,Visa,54710,New York                    ,NY,United States,1/18/09 16:58,1/18/09 16:58,40.71417,-74.00639
12499,1/18/09 17:20,25681,3600,Visa,54711,Saint Paul                  ,MN,United States,1/18/09 17:16,1/18/09 17:16,44.94444,-93.09306
12500,1/18/09 17:39,25682,3600,Visa,54700,New York                    ,NY,United States,1/18/09 17:34,1/18/09 17:34,40.71417,-74.00639
12501,01-11-09 11:20,25683,1200,Visa,54701,Spring Lake Park            ,MN,United States,12/31/08 19:48,1/18/09 17:43,45.10778,-93.23778
12502,1/13/09 20:59,25684,1200,Mastercard,54702,Winnipeg,Manitoba,Canada,1/13/09 16:44,1/18/09 19:17,49.8833333,-97.1666667
12503,01-12-09 16:50,25685,1200,Visa,54703,Seattle                     ,WA,United States,01-04-09 21:33,1/19/09 1:22,47.60639,-122.33083
12504,01-12-09 15:12,25686,1200,Mastercard,54704,Deptford                    ,NJ,United States,01-12-09 14:07,1/19/09 3:47,39.83806,-75.15306
12505,01-06-09 12:27,25687,1200,Mastercard,54705,Amsterdam,Noord-Holland,Netherlands,01-06-09 12:04,1/19/09 4:59,52.35,4.9166667
12506,01-09-09 18:52,25688,1200,Visa,54706,Alpharetta                  ,GA,United States,11/25/08 7:56,1/19/09 6:12,34.07528,-84.29417
12507,1/18/09 23:17,25689,1200,Visa,54707,Washington                  ,DC,United States,1/18/09 15:18,1/19/09 6:13,38.895,-77.03667
12508,01-07-09 8:21,25690,1200,Visa,54708,Holmenkollen,Oslo,Norway,01-03-09 11:06,1/19/09 6:54,59.9666667,10.6666667
12509,01-03-09 9:54,25691,1200,Visa,54709,Zekeriyakoy,Istanbul,Turkey,12/29/08 10:38,1/19/09 7:37,41.1980556,29.0302778
12510,01-05-09 19:37,25692,1200,Amex,54710,Washington                  ,DC,United States,11-07-07 9:49,1/19/09 7:42,38.895,-77.03667
12511,01-04-09 12:49,25693,1200,Diners,54711,Montreal,Quebec,Canada,5/25/07 10:58,1/19/09 7:58,45.5,-73.5833333
12512,01-08-09 11:55,25694,3600,Visa,54701,Braunschweig,Lower Saxony,Germany,01-03-09 12:39,1/19/09 8:31,52.2666667,10.5333333
12513,1/14/09 18:21,25695,1200,Visa,54702,Athens                      ,GA,United States,9/25/05 6:25,1/19/09 11:21,33.96083,-83.37806
12514,01-11-09 19:01,25696,1200,Diners,54703,Hoschton                    ,GA,United States,01-11-09 18:17,1/19/09 12:47,34.09639,-83.76139
12515,1/14/09 5:20,25697,3600,Visa,54704,Binningen,Basel-Country,Switzerland,01-12-09 13:31,1/19/09 13:07,47.5333333,7.5666667
12516,1/15/09 8:07,25698,1200,Visa,54705,Royal Oak                   ,MI,United States,12/13/08 19:35,1/19/09 14:59,42.48944,-83.14472
12517,1/15/09 8:10,25699,1200,Visa,54706,Royal Oak                   ,MI,United States,12/13/08 19:35,1/19/09 14:59,42.48944,-83.14472
12518,01-02-09 17:45,25700,1200,Mastercard,54707,Belmont                     ,MA,United States,12-09-05 17:19,1/19/09 15:36,42.39583,-71.17917
12519,1/19/09 16:10,25701,1200,Mastercard,54708,Old Greenwich               ,CT,United States,1/19/09 15:31,1/19/09 16:00,41.02278,-73.56528
12520,1/19/09 16:55,25702,1200,Mastercard,54709,Coconut Grove               ,FL,United States,1/19/09 16:18,1/19/09 16:18,25.71222,-80.25722
12521,01-10-09 17:41,25703,1200,Visa,54710,Vienna                      ,VA,United States,01-10-09 16:32,1/19/09 17:52,38.90111,-77.26556
12522,1/18/09 13:49,25704,3600,Visa,54711,San Ramon                   ,CA,United States,01-11-09 12:00,1/19/09 18:07,37.78,-121.97694
12523,1/15/09 5:47,25705,1200,Visa,54712,Norfolk                     ,VA,United States,1/15/09 0:21,1/19/09 22:48,36.84667,-76.28556
12524,1/19/09 23:06,25706,1200,Mastercard,54713,Norfolk                     ,VA,United States,1/19/09 22:53,1/19/09 22:53,36.84667,-76.28556
12525,1/19/09 11:12,25707,1200,Visa,54714,Aberdeen,Scotland,United Kingdom,8/27/08 8:22,1/20/09 0:35,57.1333333,-2.1
12526,01-04-09 1:38,25708,1200,Amex,54715,Charlestown,New South Wales,Australia,7/15/08 21:04,1/20/09 1:08,-32.95,151.6666667
12527,1/20/09 3:11,25709,1200,Visa,54716,Wigan,England,United Kingdom,1/20/09 3:02,1/20/09 3:06,53.5333333,-2.6166667
12528,01-03-09 10:52,25710,1200,Visa,54717,Rockville                   ,MD,United States,4/18/05 9:27,1/20/09 6:47,39.01806,-77.20889
